# F277W  source: SVO FPS id=JWST/NIRCam.F277W
# wavelength[AA] transmission
23370.800 1.021310e-04
23382.800 1.169820e-04
23394.800 1.336380e-04
23406.800 1.527990e-04
23418.800 1.742440e-04
23430.800 1.987110e-04
23442.900 2.267460e-04
23454.900 2.596590e-04
23466.900 2.981340e-04
23478.900 3.427960e-04
23490.900 3.969500e-04
23502.900 4.621590e-04
23514.900 5.418080e-04
23526.900 6.382130e-04
23538.900 7.563210e-04
23550.900 9.000230e-04
23563.000 1.075620e-03
23575.000 1.288560e-03
23587.000 1.542690e-03
23599.000 1.846740e-03
23611.000 2.205500e-03
23623.000 2.618810e-03
23635.000 3.092150e-03
23647.000 3.623880e-03
23659.000 4.209530e-03
23671.000 4.846330e-03
23683.000 5.528860e-03
23695.100 6.253440e-03
23707.100 7.006090e-03
23719.100 7.788620e-03
23731.100 8.598290e-03
23743.100 9.427450e-03
23755.100 1.023710e-02
23767.100 1.111280e-02
23779.100 1.206490e-02
23791.100 1.311030e-02
23803.100 1.427880e-02
23815.200 1.559900e-02
23827.200 1.708580e-02
23839.200 1.878700e-02
23851.200 2.073720e-02
23863.200 2.299770e-02
23875.200 2.564600e-02
23887.200 2.873990e-02
23899.200 3.234270e-02
23911.200 3.656100e-02
23923.200 4.148580e-02
23935.300 4.720940e-02
23947.300 5.386000e-02
23959.300 6.143640e-02
23971.300 6.996820e-02
23983.300 7.944200e-02
23995.300 8.975620e-02
24007.300 1.007300e-01
24019.300 1.121220e-01
24031.300 1.236440e-01
24043.300 1.349800e-01
24055.300 1.458230e-01
24067.400 1.559110e-01
24079.400 1.650600e-01
24091.400 1.731840e-01
24103.400 1.803020e-01
24115.400 1.865310e-01
24127.400 1.920530e-01
24139.400 1.971130e-01
24151.400 2.019760e-01
24163.400 2.069020e-01
24175.400 2.121130e-01
24187.500 2.177720e-01
24199.500 2.239670e-01
24211.500 2.307700e-01
24223.500 2.382360e-01
24235.500 2.457830e-01
24247.500 2.534300e-01
24259.500 2.609440e-01
24271.500 2.680970e-01
24283.500 2.746940e-01
24295.500 2.806000e-01
24307.600 2.857710e-01
24319.600 2.902070e-01
24331.600 2.939700e-01
24343.600 2.971820e-01
24355.600 2.999970e-01
24367.600 3.025680e-01
24379.600 3.050440e-01
24391.600 3.075520e-01
24403.600 3.101950e-01
24415.600 3.130520e-01
24427.600 3.161720e-01
24439.700 3.195910e-01
24451.700 3.233220e-01
24463.700 3.273600e-01
24475.700 3.314660e-01
24487.700 3.358640e-01
24499.700 3.404220e-01
24511.700 3.450600e-01
24523.700 3.497650e-01
24535.700 3.544630e-01
24547.700 3.590770e-01
24559.800 3.635350e-01
24571.800 3.677790e-01
24583.800 3.717500e-01
24595.800 3.754080e-01
24607.800 3.786830e-01
24619.800 3.815800e-01
24631.800 3.841200e-01
24643.800 3.863180e-01
24655.800 3.881950e-01
24667.800 3.897770e-01
24679.800 3.910990e-01
24691.900 3.923010e-01
24703.900 3.932640e-01
24715.900 3.941270e-01
24727.900 3.948830e-01
24739.900 3.959310e-01
24751.900 3.965390e-01
24763.900 3.970150e-01
24775.900 3.974710e-01
24787.900 3.979130e-01
24799.900 3.983660e-01
24812.000 3.985730e-01
24824.000 3.985830e-01
24836.000 3.989260e-01
24848.000 3.991430e-01
24860.000 3.993830e-01
24872.000 3.995900e-01
24884.000 3.996930e-01
24896.000 3.997120e-01
24908.000 3.996940e-01
24920.000 3.995850e-01
24932.100 3.993950e-01
24944.100 3.991240e-01
24956.100 3.987690e-01
24968.100 3.983350e-01
24980.100 3.978260e-01
24992.100 3.972410e-01
25004.100 3.965870e-01
25016.100 3.958720e-01
25028.100 3.951050e-01
25040.100 3.942970e-01
25052.100 3.934570e-01
25064.200 3.925980e-01
25076.200 3.917250e-01
25088.200 3.908540e-01
25100.200 3.899930e-01
25112.200 3.891670e-01
25124.200 3.883690e-01
25136.200 3.876110e-01
25148.200 3.868970e-01
25160.200 3.862330e-01
25172.200 3.856300e-01
25184.300 3.850880e-01
25196.300 3.846130e-01
25208.300 3.842140e-01
25220.300 3.838920e-01
25232.300 3.836430e-01
25244.300 3.834710e-01
25256.300 3.833740e-01
25268.300 3.833490e-01
25280.300 3.834010e-01
25292.300 3.835250e-01
25304.400 3.837300e-01
25316.400 3.840250e-01
25328.400 3.843810e-01
25340.400 3.847950e-01
25352.400 3.852630e-01
25364.400 3.857810e-01
25376.400 3.863380e-01
25388.400 3.869320e-01
25400.400 3.875560e-01
25412.400 3.881800e-01
25424.400 3.888240e-01
25436.500 3.894820e-01
25448.500 3.901470e-01
25460.500 3.908180e-01
25472.500 3.914890e-01
25484.500 3.921570e-01
25496.500 3.928170e-01
25508.500 3.934800e-01
25520.500 3.941320e-01
25532.500 3.947690e-01
25544.500 3.953870e-01
25556.600 3.959840e-01
25568.600 3.965570e-01
25580.600 3.971080e-01
25592.600 3.976360e-01
25604.600 3.981400e-01
25616.600 3.986270e-01
25628.600 3.990900e-01
25640.600 3.995340e-01
25652.600 3.999560e-01
25664.600 4.003620e-01
25676.700 4.007550e-01
25688.700 4.011290e-01
25700.700 4.015200e-01
25712.700 4.023020e-01
25724.700 4.026410e-01
25736.700 4.029740e-01
25748.700 4.033070e-01
25760.700 4.036350e-01
25772.700 4.038430e-01
25784.700 4.038650e-01
25796.700 4.041880e-01
25808.800 4.045140e-01
25820.800 4.048520e-01
25832.800 4.052120e-01
25844.800 4.055760e-01
25856.800 4.059420e-01
25868.800 4.063140e-01
25880.800 4.066850e-01
25892.800 4.070620e-01
25904.800 4.074290e-01
25916.800 4.078000e-01
25928.900 4.081800e-01
25940.900 4.085130e-01
25952.900 4.084510e-01
25964.900 4.088130e-01
25976.900 4.094920e-01
25988.900 4.099840e-01
26000.900 4.103010e-01
26012.900 4.102680e-01
26024.900 4.101780e-01
26036.900 4.100760e-01
26049.000 4.099570e-01
26061.000 4.098200e-01
26073.000 4.096690e-01
26085.000 4.095000e-01
26097.000 4.093140e-01
26109.000 4.091150e-01
26121.000 4.088930e-01
26133.000 4.085370e-01
26145.000 4.081370e-01
26157.000 4.081410e-01
26169.000 4.081250e-01
26181.100 4.085770e-01
26193.100 4.085470e-01
26205.100 4.085100e-01
26217.100 4.084760e-01
26229.100 4.084340e-01
26241.100 4.083900e-01
26253.100 4.083450e-01
26265.100 4.082980e-01
26277.100 4.082480e-01
26289.100 4.082060e-01
26301.200 4.081660e-01
26313.200 4.081280e-01
26325.200 4.081020e-01
26337.200 4.080790e-01
26349.200 4.084970e-01
26361.200 4.085410e-01
26373.200 4.085540e-01
26385.200 4.085770e-01
26397.200 4.086180e-01
26409.200 4.086700e-01
26421.300 4.087340e-01
26433.300 4.088130e-01
26445.300 4.089060e-01
26457.300 4.090110e-01
26469.300 4.091270e-01
26481.300 4.092520e-01
26493.300 4.093860e-01
26505.300 4.092670e-01
26517.300 4.091350e-01
26529.300 4.096380e-01
26541.300 4.097320e-01
26553.400 4.097920e-01
26565.400 4.098490e-01
26577.400 4.099060e-01
26589.400 4.099610e-01
26601.400 4.099460e-01
26613.400 4.094320e-01
26625.400 4.091280e-01
26637.400 4.091270e-01
26649.400 4.091240e-01
26661.400 4.091000e-01
26673.500 4.090760e-01
26685.500 4.093080e-01
26697.500 4.094880e-01
26709.500 4.094820e-01
26721.500 4.090010e-01
26733.500 4.090010e-01
26745.500 4.090010e-01
26757.500 4.090110e-01
26769.500 4.090210e-01
26781.500 4.090210e-01
26793.500 4.090190e-01
26805.600 4.090120e-01
26817.600 4.090000e-01
26829.600 4.085220e-01
26841.600 4.084670e-01
26853.600 4.084270e-01
26865.600 4.086390e-01
26877.600 4.087900e-01
26889.600 4.087380e-01
26901.600 4.086800e-01
26913.600 4.085910e-01
26925.700 4.082380e-01
26937.700 4.079550e-01
26949.700 4.078900e-01
26961.700 4.078350e-01
26973.700 4.077910e-01
26985.700 4.077600e-01
26997.700 4.080760e-01
27009.700 4.082770e-01
27021.700 4.083320e-01
27033.700 4.082580e-01
27045.800 4.086960e-01
27057.800 4.088470e-01
27069.800 4.089970e-01
27081.800 4.091480e-01
27093.800 4.093000e-01
27105.800 4.094460e-01
27117.800 4.095880e-01
27129.800 4.097210e-01
27141.800 4.093680e-01
27153.800 4.094830e-01
27165.800 4.095840e-01
27177.900 4.096800e-01
27189.900 4.097630e-01
27201.900 4.098240e-01
27213.900 4.100260e-01
27225.900 4.103230e-01
27237.900 4.099480e-01
27249.900 4.098390e-01
27261.900 4.098270e-01
27273.900 4.098010e-01
27285.900 4.097620e-01
27298.000 4.097210e-01
27310.000 4.096800e-01
27322.000 4.096350e-01
27334.000 4.093940e-01
27346.000 4.090500e-01
27358.000 4.089880e-01
27370.000 4.089240e-01
27382.000 4.088650e-01
27394.000 4.088080e-01
27406.000 4.090350e-01
27418.100 4.091620e-01
27430.100 4.091150e-01
27442.100 4.089820e-01
27454.100 4.085820e-01
27466.100 4.085740e-01
27478.100 4.085750e-01
27490.100 4.085930e-01
27502.100 4.085620e-01
27514.100 4.082380e-01
27526.100 4.076440e-01
27538.100 4.071770e-01
27550.200 4.069140e-01
27562.200 4.065650e-01
27574.200 4.059690e-01
