# F410M  source: SVO FPS id=JWST/NIRCam.F410M
# wavelength[AA] transmission
36740.000 1.023580e-04
36753.500 1.096740e-04
36767.000 1.134150e-04
36780.500 1.161630e-04
36794.000 1.229660e-04
36807.500 1.277090e-04
36821.100 1.330640e-04
36834.600 1.377220e-04
36848.100 1.390870e-04
36861.600 1.466000e-04
36875.100 1.530960e-04
36888.600 1.570220e-04
36902.100 1.695100e-04
36915.600 1.810430e-04
36929.200 1.878060e-04
36942.700 1.965090e-04
36956.200 2.012910e-04
36969.700 2.076190e-04
36983.200 2.207400e-04
36996.700 2.316510e-04
37010.200 2.431860e-04
37023.700 2.575540e-04
37037.300 2.697800e-04
37050.800 2.849510e-04
37064.300 3.025300e-04
37077.800 3.186530e-04
37091.300 3.361670e-04
37104.800 3.516200e-04
37118.300 3.676550e-04
37131.800 3.895670e-04
37145.400 4.098600e-04
37158.900 4.299310e-04
37172.400 4.539250e-04
37185.900 4.750560e-04
37199.400 4.979920e-04
37212.900 5.273490e-04
37226.400 5.576150e-04
37239.900 5.905750e-04
37253.500 6.247270e-04
37267.000 6.590710e-04
37280.500 7.016910e-04
37294.000 7.456630e-04
37307.500 7.850720e-04
37321.000 8.294930e-04
37334.500 8.764940e-04
37348.000 9.252390e-04
37361.500 9.836690e-04
37375.100 1.041780e-03
37388.600 1.100380e-03
37402.100 1.167480e-03
37415.600 1.236970e-03
37429.100 1.308490e-03
37442.600 1.387480e-03
37456.100 1.466410e-03
37469.600 1.549190e-03
37483.200 1.640640e-03
37496.700 1.736760e-03
37510.200 1.843270e-03
37523.700 1.958030e-03
37537.200 2.073040e-03
37550.700 2.196570e-03
37564.200 2.329170e-03
37577.700 2.465660e-03
37591.300 2.614950e-03
37604.800 2.775700e-03
37618.300 2.941830e-03
37631.800 3.120030e-03
37645.300 3.308620e-03
37658.800 3.506440e-03
37672.300 3.722290e-03
37685.800 3.950860e-03
37699.400 4.188170e-03
37712.900 4.443810e-03
37726.400 4.715460e-03
37739.900 5.001630e-03
37753.400 5.311860e-03
37766.900 5.646090e-03
37780.400 5.993680e-03
37793.900 6.364260e-03
37807.500 6.758940e-03
37821.000 7.177360e-03
37834.500 7.629090e-03
37848.000 8.110390e-03
37861.500 8.620450e-03
37875.000 9.168470e-03
37888.500 9.747180e-03
37902.000 1.035870e-02
37915.600 1.101740e-02
37929.100 1.171810e-02
37942.600 1.246290e-02
37956.100 1.326940e-02
37969.600 1.412520e-02
37983.100 1.503260e-02
37996.600 1.601280e-02
38010.100 1.705760e-02
38023.700 1.817240e-02
38037.200 1.937790e-02
38050.700 2.065850e-02
38064.200 2.202580e-02
38077.700 2.349770e-02
38091.200 2.506110e-02
38104.700 2.672830e-02
38118.200 2.851640e-02
38131.800 3.042230e-02
38145.300 3.245930e-02
38158.800 3.464150e-02
38172.300 3.697470e-02
38185.800 3.948790e-02
38199.300 4.213980e-02
