# RomanF158  source: SVO FPS id=Roman/WFI.F158
# wavelength[AA] transmission
13200.000 3.000000e-04
13250.000 9.000000e-04
13300.000 2.800000e-03
13350.000 7.600000e-03
13400.000 1.890000e-02
13450.000 4.300000e-02
13500.000 9.010000e-02
13550.000 1.733000e-01
13600.000 3.074000e-01
13650.000 5.037000e-01
13700.000 7.654000e-01
13750.000 1.082500e+00
13800.000 1.431100e+00
13850.000 1.781600e+00
13900.000 2.100200e+00
13950.000 2.363600e+00
14000.000 2.561700e+00
14050.000 2.696000e+00
14100.000 2.778900e+00
14150.000 2.825500e+00
14200.000 2.850500e+00
14250.000 2.864400e+00
14300.000 2.870200e+00
14350.000 2.873900e+00
14400.000 2.874600e+00
14450.000 2.873500e+00
14500.000 2.874200e+00
14550.000 2.875500e+00
14600.000 2.876400e+00
14650.000 2.877000e+00
14700.000 2.877600e+00
14750.000 2.879200e+00
14800.000 2.879200e+00
14850.000 2.880800e+00
14900.000 2.881200e+00
14950.000 2.883100e+00
15000.000 2.883700e+00
15050.000 2.884100e+00
15100.000 2.886300e+00
15150.000 2.887800e+00
15200.000 2.889400e+00
15250.000 2.892000e+00
15300.000 2.892800e+00
15350.000 2.895400e+00
15400.000 2.898000e+00
15450.000 2.899900e+00
15500.000 2.901900e+00
15550.000 2.903400e+00
15600.000 2.904900e+00
15650.000 2.905800e+00
15700.000 2.908100e+00
15750.000 2.909200e+00
15800.000 2.910400e+00
15850.000 2.912500e+00
15900.000 2.915000e+00
15950.000 2.918200e+00
16000.000 2.922200e+00
16050.000 2.926100e+00
16100.000 2.930400e+00
16150.000 2.934200e+00
16200.000 2.938300e+00
16250.000 2.943900e+00
16300.000 2.949600e+00
16350.000 2.953700e+00
16400.000 2.957600e+00
16450.000 2.961200e+00
16500.000 2.964500e+00
16550.000 2.968600e+00
16600.000 2.970500e+00
16650.000 2.973900e+00
16700.000 2.977000e+00
16750.000 2.978400e+00
16800.000 2.979700e+00
16850.000 2.982300e+00
16900.000 2.983400e+00
16950.000 2.984200e+00
17000.000 2.986700e+00
17050.000 2.988700e+00
17100.000 2.989800e+00
17150.000 2.988200e+00
17200.000 2.984400e+00
17250.000 2.972800e+00
17300.000 2.950600e+00
17350.000 2.913100e+00
17400.000 2.852800e+00
17450.000 2.761400e+00
17500.000 2.634600e+00
17550.000 2.464200e+00
17600.000 2.253500e+00
17650.000 2.004500e+00
17700.000 1.728900e+00
17750.000 1.440700e+00
17800.000 1.156400e+00
17850.000 8.922000e-01
17900.000 6.592000e-01
17950.000 4.659000e-01
18000.000 3.142000e-01
18050.000 2.021000e-01
18100.000 1.238000e-01
18150.000 7.210000e-02
18200.000 3.990000e-02
18250.000 2.100000e-02
18300.000 1.050000e-02
18350.000 4.900000e-03
18400.000 2.200000e-03
18450.000 9.000000e-04
18500.000 4.000000e-04
